Image|Logo|Name|Citát|Music|Race|Focus|Origin|God|Age|Status|Title|Position|Description
King-Lorian-Rueox|Mesto|Kráľ Lorian Rueox|None|None|Elf|Noble|Jazierchat|Harvien|500|Živý|Kráľ|Kráľ Jazierchatu a okolia|Kráľ Lorian sa narodil do bohatej vládnucej rodiny mesta a na trón nastúpil už v mladom veku. Odvtedy uplynulo takmer štyristo rokov, počas ktorých nepretržite vládne – s trpezlivosťou a odstupom, aký môže mať len elf, ktorému čas plynie inak než ostatným. Jeho dlhý život však priniesol aj tichú osobnú daň. Prežil viacero manželiek, ktoré ako ľudia starli a odchádzali, zatiaľ čo on zostával. Dlho nemal žiadneho potomka, až kým sa mu nedávno nenarodil syn Lanc – dedič, ktorý by mohol niesť jeho meno ďalej.<br><br>Napriek tomu sa Lorian nikdy nestal kráľom rodiny, ale predovšetkým kráľom svojho ľudu. Svoje povinnosti vždy staval nad osobný život a roky, ktoré by iní venovali blízkym, on zasvätil správe mesta a upevňovaniu svojho odkazu. Tak tomu bolo kedysi a tak je tomu aj dnes – jeho pozornosť sa čoraz viac upiera na dedičstvo, ktoré po sebe zanechá, než na vzťahy, ktoré by ho mohli ukotviť v prítomnosti.<br><br>Známy je najmä svojimi veľkolepými bálmi a podujatiami, ktoré presahujú hranice obyčajnej dvorskej okázalosti. Lorian dbá na to, aby sa na nich nezúčastňovala len šľachta, ale aj obyvatelia mesta, dokonca i tí z najnižších vrstiev. V jeho očiach má oslava zmysel len vtedy, ak je zdieľaná – ak dokáže na chvíľu spojiť všetkých bez ohľadu na postavenie. Aj preto organizuje udalosti, ktoré nie sú výsadou mocných, ale otvára ich aj tým, ktorí ich potrebujú najviac, čím si udržiava povesť panovníka, ktorý síce žije dlhšie než ostatní, no na svoj ľud nikdy nezabúda.
Ayne-Drundas|Mesto|Ayne Drundas - Guľo|None|None|Goliath|Barbarian/Fighter|Ruiny Temnoty|Začiatok|72|Živý|Jäger, Rytier|Riaditeľ ALP Jazierchat|Prišiel z iného sveta, tu sa udomácnil tak, akoby sem patril odjakživa. Po dekádach medzi miestnymi ovláda ich zvyky s ľahkosťou a pôsobí ľudskejšie než väčšina samotných ľudí. Kedysi bol známy obrovskou silou a mocnou postavou, no čas jeho telo zmenil – dnes vyzerá chudší, pokojnejší, až takmer nenápadný. To však klame: aj teraz by dokázal jedinou rukou zastaviť rozbehnutého koňa. Svoju moc však už neukazuje v sile svalov, ale v sile ducha a poznania. Vypracoval sa na váženého riaditeľa univerzity v Jazierchate, kde jeho meno vyslovujú s rešpektom študenti i učenci.
Ogmurok-Rogantor|Absorber|Ogmurok Rogantor - Umelec|None|Ogmurok, the Tamer of Flame|Human|Ranger|Divočina|Vydra|54|Živý|Jäger|Vrchný Absorber|Ogmurok vždy lovil. Jeho klan sa nikdy nepresunul do mesta a ostali nechránený v lesoch. Vďaka ich loveckým skúsenostiam im to však nerobilo veľký problém. Ogmurok teda nemal trénin z akédemie ale od klanu. S lovcami z akadémie sa stretol v lesoch keď mali spoločnú korisť. Lovci si naskôr mysleli, že Ogmurok je prízrak lebo jeho pohyby pôsobili magicky až ako keby to bolo pre neho vystúpenie a nie lov. Ogmurok sa vrátil do mesta s lovcami a začal svoju cestu akademiou kde sa niečo naučil ale aj pridal vlastné poznatky a skúsenosti.
Bolyvar-Grats|Popravca|Bolyvar Grats – Sekerník|Ešte raz sa ma opýtajte na citát a narvem vám sekeru tak hlboko do riti, že vám skončí za očami.|Bolyvar Grats|Human|Barbarrian|Jazierchat|Kybad|38|Živý|Jäger|Vrchný Popravca|Bolivar, tiež zvaný Sekerník, sa na svoju pozíciu vrchného Popravcu vypracoval sám. Od útleho veku on ako aj jeho bratia boli otcom vedený k boju. Borald Grats bol priemerný lovec, ktorý utrpel ťažké zranenia pri love, preto trénoval svojich synov tak aby sa jeho osudu vyhli. Toto usilie sa vyplatilo. Bolivarov triunfálny nástup na Jägera bol keď sa ako jediný vrátil z hrdla príšer s polu s telom svojich dvoch spolulovcov a hlavami hrdelnej trojky. Hlavy daroval akedémií na výskum a dnes už vysia v chodbách akedémie v Jazierchate. Bolivar je ťažko zastihnuteľný lovec lebo sa stále vydáva na nebezpečné miesta no vždy sa vráti aj s novým materialov pre výskum znalcou.
#Damian-Kolt|Popravca|Damian Kolt – Kolt|Nie vyslovene znalosť ale inštink, to je čo |Damian Doesn't Aim|Human|Fighter|Granulia|Liorha|39|Živý|Jäger|Vrchný Popravca|Damianov príbeh
Carlie-Hof’Goria|Krotiteľ|Carlie Hof’Goria – Lejdy|Miláčik môj.. Obaja dobre vieme, že citát neukojí tvoju zvedavosť, tak to radšej nechame bez komentára.|Whispers of Hof’Goria|Elf (Drow)|Sorcerer|Juhiera|Virwraek|416|Živá|Grófka, Jäger |Vrchná Krotiteľka|Šľachtický pôvod a pokrvné spojenie na predchádzajúceho vrchného krotiteľa bolo Grófke určite veľmi pomocné pri jej čase strávenom v Akadémií. Bola veľmi nadaný študent, ktorý len málokedy išiel do terénu. Väčšinu času strávila v kabinetoch a kanceláriach. Jej cesta na vrchol bola vcelku rýchla a po jej nástupe nastalo viacero nečakaných zmien. Sprísnila zápisný poplatok a stará sa o školné. Všetci čo sa na to sťažovali zmenili svoj názor po rozhovore s ňou. Fakulta sa stala prínosnejšou pre akadémiu. Grófka však od vtedy vídaná len ojedinele. Väčšinou ju na stretnutiach niekto zastupuje. 
Kratol-Uroqal|Ochranca|Kratol Uroqal – Sudca|Nič nieje smutnejšie, než strata nádeje. Pretože nádej sa nedá stratiť, dá sa len opustiť.|Kratol Uroqal|Human|Paladin|Chladohrad|Syrvaad|24|Živý|Jäger|Vrchný Ochranca|Kratol mal zmysel pre spravodlivosť skôr ako vedel používať zbrane. Často sa preto dostal do nepríjemných situácií kde ho silnejší neprávom trestali. Kratola to však neodradilo a spravodlivosť nasledoval aj naďalej. Začal pracovať na svojej fyzickej stránke a stal z neho lovca. Nebol najsilnejší či najefektívnejší ale prácu odviedol hrdo. Jeho zmysel pre spravodlivosť mu však nie vždy dovolil príšeru zabiť, stal sa preto príkladným študentom fakulty Ochrancov. Tam neskôr prebral rolu vrchného ochrancu kde zastáva princípy spravodlivosti. 
Katrina-Hularo|Znalec|Katrina Hularo – Diplomatka|Nikdy nie je neskoro naučiť sa neičo nové.|By Katrinas Will Alone|Tabaxi|Wizard|Pieskostan|-|51|Živá|Jäger|Vrchná Znalkyňa|Silný intelekt sa nezastaví pred ničím. Katrin stratila rodičov ako mladé dievča a musela sa o súredencov starať sama. Mala však dosť umu aby našla riešenie. Seba prihlásila na akadémiu a ako sirota dostala dosť peňazí aby súrodencom zabezpečila bývanie. Nemala teda financie pre seba a musela sa viac vynájsť. Robila istý čas prekladateľku a učila sa jazyky. Jej talentu to prospelo lebo po tragickom skonaní Minaer Hlafton bola zvolená ako vrchný znalca. Časť jej súrodencov sa pridala do akadémie tiež ale Katrin nikdy nezneužila svoje postavenie aby im vypomohla.
Maximus-Noe|Znalec|Maximus Noe|Rado sa stalo.|The Name of Maximus|Human|Fighter|Jazierchat|Zekkil|40|Živý|Jäger|Najsilnejší Lovec|Muž. Mýtus. Legenda. Najsilnejší a najschopnejší lovec, akého tento svet pozná. To všetko vystihuje Maximusa.<br>Ak existuje niekto, kto by mohol kráčať po stopách Zekkila a prekročiť hranicu medzi polobohom a skutočným bohom, všetci sa zhodnú na jedinom mene. Maximus. Nikto iný nemá k tomu tak blízko.<br>Príbehy o ňom kolujú odkedy bol ešte dieťa. Niektoré znejú absurdne, ako tá o tom, že z postieľky premohol hydru. Iné sú… viac uveriteľné. Zachránené karavany skôr, než bol vôbec prijatý do akadémie. Skúšky, ktoré iní nezvládnu za roky, ukončil za pár mesiacov. A odvtedy? Odvtedy jeho meno len rastie.<br>Pod jeho rukami padajú všetky druhy monštier. Bez rozdielu. Bez zaváhania. A rovnako prirodzene, ako prichádza smrť pre príšery, prichádza obdiv od ľudí. Najmä od žien. Tie sa k nemu hrnú ako sliepky k zrnu. A hoci sa o tom tak nehovorí, niektorí muži by sa na ich mieste ocitli tiež.<br>Maximus si slávu užíva. Neuniká pred ňou, naopak, nosí ju ako plášť. Často ho vídať na podujatiach, obklopeného krásou a smiechom, s pohárom v ruke a iskrou v očiach. Vášnivý, sebavedomý… možno až príliš. Ale kto by mu to vyčítal?<br>Je tým lovcom, akým chce byť každý nováčik na akadémii. A tým, ktorému závidia aj tí, čo už svoju cestu dávno dokončili. A pravdou je, že oprávnene.
Bratislav-Kalsar|Mesto|Bratislav Kalsar|None|None|Human|Fighter|Jazierchat|Syrvaad|38|Mŕtvy|Sir, Jäger|Učiteľ|Ó, aký hrdý bol kedysi rod Kalsarov. Bájni bojovníci, ktorých meno sa nieslo svetom ako prísľub nádeje. Boli to oni, kto prvý ukázal, že pred monštrami sa netreba len skrývať, že sa s nimi dá bojovať, poraziť ich a zatlačiť späť do temnôt, odkiaľ prišli. Vďaka nim vznikli akadémie, vďaka nim sa ľudia naučili stáť vzpriamene aj pred hradbami miest. Hoci svet zostáva nebezpečný a každým krokom ďalej od civilizácie rastie riziko, to, čo dnes považujeme za „bezpečné“, existuje len vďaka Kalsarovcom.A predsa ich príbeh nemal slávny koniec. Je až tragické, ako tento rod padol. Hlavná vetva zanikla počas jediného večera v roku 715 pri náhlem, nečakanom útoku na ich rodné sídlo uprostred rodinných osláv.<br>Bratislav, posledný vodca rodu, mal štyri deti, troch synov a dcéru. Neprežil nikto. Zostali len roztrúsené telá a ticho, ktoré po nich nasledovalo. Ich sídlo dodnes stojí opustené, pomaly ho pohlcuje príroda a nikto sa neodváži vstúpiť do jeho tieňov. Leží príliš ďaleko od mesta a príšery si ho rýchlo privlastnili, akoby čakali práve na túto chvíľu.<br>Niektorí hovoria, že neskorší Kalsarovci stratili ostrosť, že sa viac spoliehali na bohatstvo, magické artefakty a svoju povesť než na vlastnú silu. Že bojovali menej, a práve preto sa stali zraniteľnými. Iní však tvrdia opak, že boli ešte väčší než ich predchodcovia, pretože sa o svoje poznanie podelili so svetom a umožnili vznik novej generácie bojovníkov. Pravda sa ale stratila spolu s nimi. No jedno je isté, ich pád narušil rovnováhu. A podľa toho, ako sa monštrá opäť pohybujú v tieňoch, sa zdá, že svet už začína cítiť následky ich neprítomnosti...
