Image|Logo|Name|Citát|Music|Race|Focus|Origin|God|Age|Status|Title|Position|Description|DM_Data
King-Lorian-Rueox|Mesto|Kráľ Lorian Rueox|Som rád, že sa mestu darí a verím, že obyvatelia mi pomôžu úspech len násobiť.|None|Elf|Noble|Jazierchat|Harvien|500|Živý|Kráľ|Kráľ Jazierchatu a okolia|Kráľ Lorian sa narodil do bohatej vládnucej rodiny mesta a na trón nastúpil už v mladom veku. Odvtedy uplynulo takmer štyristo rokov, počas ktorých nepretržite vládne – s trpezlivosťou a odstupom, aký môže mať len elf, ktorému čas plynie inak než ostatným. Jeho dlhý život však priniesol aj tichú osobnú daň. Prežil viacero manželiek, ktoré ako ľudia starli a odchádzali, zatiaľ čo on zostával. Dlho nemal žiadneho potomka, až kým sa mu nedávno nenarodil syn Lanc – dedič, ktorý by mohol niesť jeho meno ďalej.<br><br>Napriek tomu sa Lorian nikdy nestal kráľom rodiny, ale predovšetkým kráľom svojho ľudu. Svoje povinnosti vždy staval nad osobný život a roky, ktoré by iní venovali blízkym, on zasvätil správe mesta a upevňovaniu svojho odkazu. Tak tomu bolo kedysi a tak je tomu aj dnes – jeho pozornosť sa čoraz viac upiera na dedičstvo, ktoré po sebe zanechá, než na vzťahy, ktoré by ho mohli ukotviť v prítomnosti.<br><br>Známy je najmä svojimi veľkolepými bálmi a podujatiami, ktoré presahujú hranice obyčajnej dvorskej okázalosti. Lorian dbá na to, aby sa na nich nezúčastňovala len šľachta, ale aj obyvatelia mesta, dokonca i tí z najnižších vrstiev. V jeho očiach má oslava zmysel len vtedy, ak je zdieľaná – ak dokáže na chvíľu spojiť všetkých bez ohľadu na postavenie. Aj preto organizuje udalosti, ktoré nie sú výsadou mocných, ale otvára ich aj tým, ktorí ich potrebujú najviac, čím si udržiava povesť panovníka, ktorý síce žije dlhšie než ostatní, no na svoj ľud nikdy nezabúda.|Kráľ Lorian sa narodil do bohatej vládnucej rodiny mesta a na trón nastúpil už v mladom veku. Odvtedy uplynulo takmer štyristo rokov, počas ktorých nepretržite vládne – s trpezlivosťou a odstupom, aký môže mať len elf, ktorému čas plynie inak než ostatným. Jeho dlhý život však priniesol aj tichú osobnú daň. Prežil viacero manželiek, ktoré ako ľudia starli a odchádzali, zatiaľ čo on zostával. Dlho nemal žiadneho potomka, až kým sa mu nedávno nenarodil syn Lanc – dedič, ktorý by mohol niesť jeho meno ďalej.<br><br>Napriek tomu sa Lorian nikdy nestal kráľom rodiny, ale predovšetkým kráľom svojho ľudu. Svoje povinnosti vždy staval nad osobný život a roky, ktoré by iní venovali blízkym, on zasvätil správe mesta a upevňovaniu svojho odkazu. Tak tomu bolo kedysi a tak je tomu aj dnes – jeho pozornosť sa čoraz viac upiera na dedičstvo, ktoré po sebe zanechá, než na vzťahy, ktoré by ho mohli ukotviť v prítomnosti.<br><br>Známy je najmä svojimi veľkolepými bálmi a podujatiami, ktoré presahujú hranice obyčajnej dvorskej okázalosti. Lorian dbá na to, aby sa na nich nezúčastňovala len šľachta, ale aj obyvatelia mesta, dokonca i tí z najnižších vrstiev. V jeho očiach má oslava zmysel len vtedy, ak je zdieľaná – ak dokáže na chvíľu spojiť všetkých bez ohľadu na postavenie. Aj preto organizuje udalosti, ktoré nie sú výsadou mocných, ale otvára ich aj tým, ktorí ich potrebujú najviac, čím si udržiava povesť panovníka, ktorý síce žije dlhšie než ostatní, no na svoj ľud nikdy nezabúda.
Edgariana_Rueox|Mesto|Edgariana Rueox|Poklona má byť hlbšia, krásna a úcti hodná, tak ako ja.|None|Human|Noble|Jazierchat|Zael|28|Živá|Kráľovná|Královna Jazierchatu|Edgariana Rueox je aktuálna kráľovná a súčasná dáma kráľa Rueoxa. Keďže kráľ je elf a jeho družky bývajú prevažne ľudské ženy, za svoj dlhý život ich po jeho boku stálo už niekoľko. Edgariana nie je matkou princa Lanca, no to jej na dvore neuberá na váhe. Dnes je ona tá, ktorá stojí pri kráľovi. <br><br> Jej mágia pôsobí rovnako vznešene ako jej postavenie. Tmavomodré oči ladia s jej šatami a celý jej zjav vyvoláva dojem, akoby sa pre kráľovskú rolu narodila. Hoci je v nej nová, nosí ju prirodzene, vystupuje pokojne, sebavedomo a s gráciou ženy, ktorá nepotrebuje dokazovať, že patrí na trón. <br><br> Edgariana si všíma gestá. Keď sa jej niekto pokloní, neprejde okolo bez povšimnutia. Vie odpovedať pohľadom, slovom alebo drobným prejavom záujmu, ktorý dáva najavo, že dvorská etiketa pre ňu nie je len povinnosť, ale jazyk moci. Každý úklon, úsmev aj pohyb má svoje miesto a Edgariana ich číta veľmi pozorne. |empty
Ayne-Drundas|Akademia, Popravca|Ayne Drundas   Guľo|Nikdy nie je tak zle aby nemohlo byť horšie, tak nepodceňuj prípravu.|None|Goliath|Barbarian/Fighter|Ruiny Temnoty|Začiatok|72|Živý|Jäger, Rytier|Riaditeľ ALP Jazierchat|"Prišiel z iného sveta, tu sa udomácnil tak, akoby sem patril odjakživa. Po dekádach medzi miestnymi ovláda ich zvyky s ľahkosťou a pôsobí ľudskejšie než väčšina samotných ľudí. Kedysi bol známy obrovskou silou a mocnou postavou, no čas jeho telo zmenil, dnes vyzerá chudší, pokojnejší, až takmer nenápadný. To však klame: aj teraz by dokázal jedinou rukou zastaviť rozbehnutého koňa. Svoju moc však už neukazuje v sile svalov, ale v sile ducha a poznania. <br>Niekedy ho volali Guľo, to nie len pre jeho zavolitú postavu ale aj lebo sa ""guľal"" medzi fakultami. Ayne mal problém ostat v jednej fakulte dlhšie ako akademický level. Jeho široký zámer mu však pomohol a vypracoval sa na váženého riaditeľa univerzity v Jazierchate, kde jeho meno vyslovujú s rešpektom študenti i učenci."|"Prišiel z iného sveta, tu sa udomácnil tak, akoby sem patril odjakživa. Po dekádach medzi miestnymi ovláda ich zvyky s ľahkosťou a pôsobí ľudskejšie než väčšina samotných ľudí. Kedysi bol známy obrovskou silou a mocnou postavou, no čas jeho telo zmenil, dnes vyzerá chudší, pokojnejší, až takmer nenápadný. To však klame: aj teraz by dokázal jedinou rukou zastaviť rozbehnutého koňa. Svoju moc však už neukazuje v sile svalov, ale v sile ducha a poznania. <br>Niekedy ho volali Guľo, to nie len pre jeho zavolitú postavu ale aj lebo sa ""guľal"" medzi fakultami. Ayne mal problém ostat v jednej fakulte dlhšie ako akademický level. Jeho široký zámer mu však pomohol a vypracoval sa na váženého riaditeľa univerzity v Jazierchate, kde jeho meno vyslovujú s rešpektom študenti i učenci."
Ogmurok-Rogantor|Absorber|Ogmurok Rogantor   Umelec|Umenie nieje chopiť sa Esencie, umenie je správne ju využiť.|Ogmurok, the Tamer of Flame|Human|Ranger|Divočina|Vydra|54|Živý|Jäger|Vrchný Absorber|Ogmurok vždy lovil. Jeho klan sa nikdy nepresunul do mesta a ostali nechránený v lesoch. Vďaka ich loveckým skúsenostiam im to však nerobilo veľký problém. Ogmurok teda nemal trénin z akédemie ale od klanu. S lovcami z akadémie sa stretol v lesoch keď mali spoločnú korisť. Lovci si naskôr mysleli, že Ogmurok je prízrak lebo jeho pohyby pôsobili magicky až ako keby to bolo pre neho vystúpenie a nie lov. Ogmurok sa vrátil do mesta s lovcami a začal svoju cestu akademiou kde sa niečo naučil ale aj pridal vlastné poznatky a skúsenosti.|Ogmurok vždy lovil. Jeho klan sa nikdy nepresunul do mesta a ostali nechránený v lesoch. Vďaka ich loveckým skúsenostiam im to však nerobilo veľký problém. Ogmurok teda nemal trénin z akédemie ale od klanu. S lovcami z akadémie sa stretol v lesoch keď mali spoločnú korisť. Lovci si naskôr mysleli, že Ogmurok je prízrak lebo jeho pohyby pôsobili magicky až ako keby to bolo pre neho vystúpenie a nie lov. Ogmurok sa vrátil do mesta s lovcami a začal svoju cestu akademiou kde sa niečo naučil ale aj pridal vlastné poznatky a skúsenosti.
Bolyvar-Grats|Popravca|Bolyvar Grats – Sekerník|Ešte raz sa ma opýtajte na citát a narvem vám sekeru tak hlboko do riti, že vám skončí za očami.|Bolyvar Grats|Human|Barbarrian|Jazierchat|Kybad|48|Mŕtvy (750)|Jäger|Ex-Vrchný Popravca, Lovec Skupina 720|Bolyvar, tiež zvaný Sekerník, sa na svoju pozíciu vrchného Popravcu vypracoval sám. Od útleho veku on ako aj jeho bratia boli otcom vedený k boju. Borald Grats bol priemerný lovec, ktorý utrpel ťažké zranenia pri love, preto trénoval svojich synov tak aby sa jeho osudu vyhli. Toto usilie sa vyplatilo. Bolyvarov triunfálny nástup na Jägera bol keď sa ako jediný vrátil z hrdla príšer s polu s telom svojich dvoch spolulovcov a hlavami hrdelnej trojky. Hlavy daroval akedémií na výskum a dnes už vysia v chodbách akedémie v Jazierchate. Bolyvar je ťažko zastihnuteľný lovec lebo sa stále vydáva na nebezpečné miesta no vždy sa vráti aj s novým materialov pre výskum znalcou.|Bolyvar, tiež zvaný Sekerník, sa na svoju pozíciu vrchného Popravcu vypracoval sám. Od útleho veku on ako aj jeho bratia boli otcom vedený k boju. Borald Grats bol priemerný lovec, ktorý utrpel ťažké zranenia pri love, preto trénoval svojich synov tak aby sa jeho osudu vyhli. Toto usilie sa vyplatilo. Bolyvarov triunfálny nástup na Jägera bol keď sa ako jediný vrátil z hrdla príšer s polu s telom svojich dvoch spolulovcov a hlavami hrdelnej trojky. Hlavy daroval akedémií na výskum a dnes už vysia v chodbách akedémie v Jazierchate. Bolyvar je ťažko zastihnuteľný lovec lebo sa stále vydáva na nebezpečné miesta no vždy sa vráti aj s novým materialov pre výskum znalcou.
Damian-Kolt|Popravca|Damian Kolt – Kolt|Neexistuje ideálny okamih, je len aktuálny okamih a my rozhoduje ako ho využijeme.|Damian Doesn't Aim|Human|Fighter|Granulia|Liorha|39|Živý|Jäger|Vrchný Popravca|Damian Kolt, starší brat Erika Kolta, je nový vrchný Popravca po odchode Bolyvara Gratsa. Na rozdiel od svojho brata nebojuje cez presné výpočty a dokonalé plány. Damian víťazí preto, že reaguje rýchlejšie než ostatní. Tam, kde Erik mieri na stred terča, Damian už vystrelil.  Ako starší brat nemal koho nasledovať, preto sa všetko učil vlastnými chybami. Je tvrdohlavý, prispôsobivý a zvyknutý prežiť aj vtedy, keď sa plán rozpadne. Ľudia ho často vidia ako šťastného hrdinu, ktorému všetko vychádza, no Damian si dobre pamätá aj víťazstvá, ktoré ho stáli spolubojovníkov.  Jeho najznámejšou zbraňou je Kolt Thunderstrike, ťažký magický revolver, ktorý strieľa s takou silou, že nemusí trafiť presne, aby zničil cieľ. Výstrel z neho znie ako úder búrky a slabšieho strelca by odhodil dozadu. Damian však stojí pevne.  Dnes vedie Popravcov nie ako dokonalý stratég, ale ako lovec, ktorý vie, že v skutočnom boji prežije ten, kto sa dokáže pohnúť v správnej sekunde. |Damian Kolt, starší brat Erika Kolta, je nový vrchný Popravca po odchode Bolyvara Gratsa. Na rozdiel od svojho brata nebojuje cez presné výpočty a dokonalé plány. Damian víťazí preto, že reaguje rýchlejšie než ostatní. Tam, kde Erik mieri na stred terča, Damian už vystrelil.  Ako starší brat nemal koho nasledovať, preto sa všetko učil vlastnými chybami. Je tvrdohlavý, prispôsobivý a zvyknutý prežiť aj vtedy, keď sa plán rozpadne. Ľudia ho často vidia ako šťastného hrdinu, ktorému všetko vychádza, no Damian si dobre pamätá aj víťazstvá, ktoré ho stáli spolubojovníkov.  Jeho najznámejšou zbraňou je Kolt Thunderstrike, ťažký magický revolver, ktorý strieľa s takou silou, že nemusí trafiť presne, aby zničil cieľ. Výstrel z neho znie ako úder búrky a slabšieho strelca by odhodil dozadu. Damian však stojí pevne.  Dnes vedie Popravcov nie ako dokonalý stratég, ale ako lovec, ktorý vie, že v skutočnom boji prežije ten, kto sa dokáže pohnúť v správnej sekunde. 
Carlie-Hof’Goria|Krotiteľ|Carlie Hof’Goria – Lejdy|Miláčik môj.. Obaja dobre vieme, že citát neukojí tvoju zvedavosť, tak to radšej nechame bez komentára.|Whispers of Hof’Goria|Elf (Drow)|Sorcerer|Juhiera|Virwraek|416|Živá|Grófka, Jäger|Vrchná Krotiteľka|Šľachtický pôvod a pokrvné spojenie na predchádzajúceho vrchného krotiteľa bolo Grófke určite veľmi pomocné pri jej čase strávenom v Akadémií. Bola veľmi nadaný študent, ktorý len málokedy išiel do terénu. Väčšinu času strávila v kabinetoch a kanceláriach. Jej cesta na vrchol bola vcelku rýchla a po jej nástupe nastalo viacero nečakaných zmien. Sprísnila zápisný poplatok a stará sa o školné. Všetci čo sa na to sťažovali zmenili svoj názor po rozhovore s ňou. Fakulta sa stala prínosnejšou pre akadémiu. Grófka však od vtedy vídaná len ojedinele. Väčšinou ju na stretnutiach niekto zastupuje. |Šľachtický pôvod a pokrvné spojenie na predchádzajúceho vrchného krotiteľa bolo Grófke určite veľmi pomocné pri jej čase strávenom v Akadémií. Bola veľmi nadaný študent, ktorý len málokedy išiel do terénu. Väčšinu času strávila v kabinetoch a kanceláriach. Jej cesta na vrchol bola vcelku rýchla a po jej nástupe nastalo viacero nečakaných zmien. Sprísnila zápisný poplatok a stará sa o školné. Všetci čo sa na to sťažovali zmenili svoj názor po rozhovore s ňou. Fakulta sa stala prínosnejšou pre akadémiu. Grófka však od vtedy vídaná len ojedinele. Väčšinou ju na stretnutiach niekto zastupuje.
Kratol-Uroqal|Ochranca|Kratol Uroqal – Sudca|Nič nieje smutnejšie, než strata nádeje. Pretože nádej sa nedá stratiť, dá sa len opustiť.|Kratol Uroqal|Human (Demigod)|Paladin|Chladohrad|Syrvaad|24|Živý|Jäger|Vrchný Ochranca|Kratol mal zmysel pre spravodlivosť skôr ako vedel používať zbrane. Často sa preto dostal do nepríjemných situácií kde ho silnejší neprávom trestali. Kratola to však neodradilo a spravodlivosť nasledoval aj naďalej. Začal pracovať na svojej fyzickej stránke a stal z neho lovca. Nebol najsilnejší či najefektívnejší ale prácu odviedol hrdo. Jeho zmysel pre spravodlivosť mu však nie vždy dovolil príšeru zabiť, stal sa preto príkladným študentom fakulty Ochrancov. Tam neskôr prebral rolu vrchného ochrancu kde zastáva princípy spravodlivosti. |Kratol mal zmysel pre spravodlivosť skôr ako vedel používať zbrane. Často sa preto dostal do nepríjemných situácií kde ho silnejší neprávom trestali. Kratola to však neodradilo a spravodlivosť nasledoval aj naďalej. Začal pracovať na svojej fyzickej stránke a stal z neho lovca. Nebol najsilnejší či najefektívnejší ale prácu odviedol hrdo. Jeho zmysel pre spravodlivosť mu však nie vždy dovolil príšeru zabiť, stal sa preto príkladným študentom fakulty Ochrancov. Tam neskôr prebral rolu vrchného ochrancu kde zastáva princípy spravodlivosti.
Katrina-Hularo|Znalec|Katrina Hularo – Diplomatka|Nikdy nie je neskoro naučiť sa niečo nové.|By Katrinas Will Alone|Tabaxi|Wizard|Pieskostan|-|51|Živá|Jäger|Vrchná Znalkyňa|Silný intelekt sa nezastaví pred ničím. Katrin stratila rodičov ako mladé dievča a musela sa o súredencov starať sama. Mala však dosť umu aby našla riešenie. Seba prihlásila na akadémiu a ako sirota dostala dosť peňazí aby súrodencom zabezpečila bývanie. Nemala teda financie pre seba a musela sa viac vynájsť. Robila istý čas prekladateľku a učila sa jazyky. Jej talentu to prospelo lebo po tragickom skonaní Minaer Hlafton bola zvolená ako vrchný znalca. Časť jej súrodencov sa pridala do akadémie tiež ale Katrin nikdy nezneužila svoje postavenie aby im vypomohla.|Silný intelekt sa nezastaví pred ničím. Katrin stratila rodičov ako mladé dievča a musela sa o súredencov starať sama. Mala však dosť umu aby našla riešenie. Seba prihlásila na akadémiu a ako sirota dostala dosť peňazí aby súrodencom zabezpečila bývanie. Nemala teda financie pre seba a musela sa viac vynájsť. Robila istý čas prekladateľku a učila sa jazyky. Jej talentu to prospelo lebo po tragickom skonaní Minaer Hlafton bola zvolená ako vrchný znalca. Časť jej súrodencov sa pridala do akadémie tiež ale Katrin nikdy nezneužila svoje postavenie aby im vypomohla.
Maximus-Noe|Znalec|Maximus Noe|Rado sa stalo.|The Name of Maximus|Human|Fighter|Jazierchat|Zekkil|40|Živý|Jäger|Najsilnejší Lovec|Muž. Mýtus. Legenda. Najsilnejší a najschopnejší lovec, akého tento svet pozná. To všetko vystihuje Maximusa.<br>Ak existuje niekto, kto by mohol kráčať po stopách Zekkila a prekročiť hranicu medzi polobohom a skutočným bohom, všetci sa zhodnú na jedinom mene. Maximus. Nikto iný nemá k tomu tak blízko.<br>Príbehy o ňom kolujú odkedy bol ešte dieťa. Niektoré znejú absurdne, ako tá o tom, že z postieľky premohol hydru. Iné sú… viac uveriteľné. Zachránené karavany skôr, než bol vôbec prijatý do akadémie. Skúšky, ktoré iní nezvládnu za roky, ukončil za pár mesiacov. A odvtedy? Odvtedy jeho meno len rastie.<br>Pod jeho rukami padajú všetky druhy monštier. Bez rozdielu. Bez zaváhania. A rovnako prirodzene, ako prichádza smrť pre príšery, prichádza obdiv od ľudí. Najmä od žien. Tie sa k nemu hrnú ako sliepky k zrnu. A hoci sa o tom tak nehovorí, niektorí muži by sa na ich mieste ocitli tiež.<br>Maximus si slávu užíva. Neuniká pred ňou, naopak, nosí ju ako plášť. Často ho vídať na podujatiach, obklopeného krásou a smiechom, s pohárom v ruke a iskrou v očiach. Vášnivý, sebavedomý… možno až príliš. Ale kto by mu to vyčítal?<br>Je tým lovcom, akým chce byť každý nováčik na akadémii. A tým, ktorému závidia aj tí, čo už svoju cestu dávno dokončili. A pravdou je, že oprávnene.|Muž. Mýtus. Legenda. Najsilnejší a najschopnejší lovec, akého tento svet pozná. To všetko vystihuje Maximusa.<br>Ak existuje niekto, kto by mohol kráčať po stopách Zekkila a prekročiť hranicu medzi polobohom a skutočným bohom, všetci sa zhodnú na jedinom mene. Maximus. Nikto iný nemá k tomu tak blízko.<br>Príbehy o ňom kolujú odkedy bol ešte dieťa. Niektoré znejú absurdne, ako tá o tom, že z postieľky premohol hydru. Iné sú… viac uveriteľné. Zachránené karavany skôr, než bol vôbec prijatý do akadémie. Skúšky, ktoré iní nezvládnu za roky, ukončil za pár mesiacov. A odvtedy? Odvtedy jeho meno len rastie.<br>Pod jeho rukami padajú všetky druhy monštier. Bez rozdielu. Bez zaváhania. A rovnako prirodzene, ako prichádza smrť pre príšery, prichádza obdiv od ľudí. Najmä od žien. Tie sa k nemu hrnú ako sliepky k zrnu. A hoci sa o tom tak nehovorí, niektorí muži by sa na ich mieste ocitli tiež.<br>Maximus si slávu užíva. Neuniká pred ňou, naopak, nosí ju ako plášť. Často ho vídať na podujatiach, obklopeného krásou a smiechom, s pohárom v ruke a iskrou v očiach. Vášnivý, sebavedomý… možno až príliš. Ale kto by mu to vyčítal?<br>Je tým lovcom, akým chce byť každý nováčik na akadémii. A tým, ktorému závidia aj tí, čo už svoju cestu dávno dokončili. A pravdou je, že oprávnene.
